Ingredient,Quantity
butter with salt,203
butter whipped w salt,310
butter oil anhydrous,272
cheese blue,153
cheese brick,203
cheese brie,841
cheese camembert,918
cheese caraway,163
cheese cheddar,743
cheese cheshire,556
cheese colby,759
cheese cottage crmd lrg or sml curd,789
cheese cottage crmd wfruit,323
cheese cottage nonfat uncrmd dry lrg or sml curd,360
cheese cottage lowfat 2 milkfat,705
cheese cottage lowfat 1 milkfat,168
cheese cream,762
cheese edam,992
cheese feta,675
cheese fontina,947
cheese gjetost,621
cheese gouda,604
cheese gruyere,138
cheese limburger,520
cheese monterey,899
cheese mozzarella whl milk,992
cheese mozzarella whl milk lo moist,227
cheese mozzarella part skim milk,558
cheese mozzarella lo moist part-skim,374
cheese muenster,542
cheese neufchatel,334
cheese parmesan grated,811
cheese parmesan hard,644
cheese port de salut,522
cheese provolone,100
cheese ricotta whole milk,525
cheese ricotta part skim milk,957
cheese romano,488
cheese roquefort,279
cheese swiss,874
cheese tilsit,198
cheese past process american fort w vitamin d,278
cheese past process pimento,902
cheese past process swiss,609
cheese fd cold pk american,296
cheese fd past process american vitamin d fort,658
cheese fd past process swiss,665
cheese sprd past process american,528
cream fluid half and half,399
cream fluid lt (coffee crm or table crm),967
cream fluid lt whipping,141
cream fluid hvy whipping,845
cream whipped crm topping pressurized,798
cream sour red fat cultured,380
cream sour cultured,871
eggnog,863
sour drsng non-butterfat cultured filled cream-type,295
milk filled fluid wblend of hydr veg oils,201
milk filled fluid wlauric acid oil,364
cheese american nonfat or fat free,394
cream sub liq whydr veg oilsoy prot,844
cream sub liq wlauric acid oilna caseinate,101
cream substitute powdered,342
dessert topping powdered,170
dessert topping pdr 15 oz prep w12 cup milk,642
dessert topping pressurized,586
dessert topping semi solid frz,903
sour crm imitn cultured,358
milk substitutes fluid wlauric acid oil,540
milk whl 325 milkfat w added vitamin d,112
milk producer fluid 37 milkfat,498
milk red fat fluid 2 milkfat w added vit a  vitamin d,243
milk red fat fluid 2 milkfat w added nfms  vit a  vit d,891
milk red fat fluid 2 milkfat prot fort w added vit a  d,280
milk lowfat fluid 1 milkfat w added vit a  vitamin d,937
milk lowfat fluid 1 milkfat w add nonfat milk sol vit a d,380
milk lowfat fluid 1 milkfat prot fort w added vit a  d,581
milk nonfat fluid w added vit a  vit d (fat free or skim),136
milk nonfat fluid w added nonfat milk sol vit a  vit d,891
milk nonfat fluid prot fort w add vit a  d (fat freeskim),596
milk bttrmlk fluid cultured lowfat,719
milk lo na fluid,201
milk dry whl w added vitamin d,809
milk dry nonfat reg wo added vit a  vitamin d,530
milk dry nonfat inst w added vit a  vitamin d,935
milk dry nonfat ca red,264
milk buttermilk dried,179
milk cnd cond swtnd,204
milk cnd evap w added vitamin d  wo added vit a,275
milk cnd evap nonfat w added vit a  vitamin d,800
milk choc fluid comm whl w added vit a  vitamin d,836
milk choc fluid comm red fat,204
milk choc lowfat w added vit a  vitamin d,242
milk choc bev hot cocoa homemade,936
milk goat fluid w added vitamin d,442
milk human mature fluid,251
milk indian buffalo fluid,972
milk sheep fluid,926
milk shakes thick choc,418
milk shakes thick vanilla,602
whey acid fluid,908
whey acid dried,418
whey sweet fluid,485
whey sweet dried,173
yogurt pln whl milk 8 grams prot per 8 oz,707
yogurt pln lofat 12 grams prot per 8 oz,308
yogurt pln skim milk 13 grams prot per 8 oz,412
yogurt vanilla lofat 11 grams prot per 8 oz,349
yogurt fruit lofat 9 grams prot per 8 oz,701
yogurt fruit lofat 10 grams prot per 8 oz,270
yogurt fruit lofat 11 grams prot per 8 oz,911
egg whl raw frsh,530
egg white raw fresh,916
egg yolk raw frsh,434
egg yolk raw frz past,531
egg yolk raw frz sugared past,630
egg whl ckd fried,966
egg whl ckd hard-boiled,133
egg whole cooked omelet,666
egg whl ckd poached,104
egg whl ckd scrmbld,229
egg whl dried,710
egg whl dried stabilized glucose red,645
egg white dried flakes stabilized glucose red,125
egg white dried pdr stabilized glucose red,453
egg yolk dried,826
egg duck whole fresh raw,241
egg goose whole fresh raw,988
egg quail whole fresh raw,880
egg turkey whl frsh raw,503
egg substitute powder,167
butter without salt,653
cheese parmesan shredded,399
milk nonfat fluid wo added vit a  vit d (fat free or skim),763
milk red fat fluid 2 milkfat w nonfat milk sol wo vit a,490
milk cnd evap w vit a,817
milk dry nonfat reg w added vit a  vitamin d,157
milk dry nonfat inst wo added vit a  vitamin d,659
cheese goat hard type,774
cheese goat semisoft type,711
cheese goat soft type,612
egg yolk raw frz salted past,458
cheese sub mozzarella,295
cheese sau prep from recipe,354
cheese mexican queso anejo,576
cheese mexican queso asadero,276
cheese mexican queso chihuahua,813
cheese lofat cheddar or colby,921
cheese low-sodium cheddar or colby,376
egg whl raw frz past,937
egg white raw frz past,348
egg white dried,363
milk red fat fluid 2 milkfat wo added vit a  vit d,538
milk fluid 1 fat wo added vit a  vit d,150
sour cream reduced fat,238
sour cream light,797
sour cream fat free,524
usda commodity chs cheddar red fat,844
yogurt van or lem flav nonfat milk swtnd wlow-calorie swtnr,550
parmesan chs topping fat free,644
cheese cream fat free,424
yogurt choc nonfat milk,355
kraft cheez whiz past process chs sau,320
kraft cheez whiz lt past process chs product,151
kraft free singles american nonfat past process chs product,939
kraft velveeta past process chs sprd,145
kraft velveeta lt red fat past process chs product,105
kraft breakstone's red fat sour crm,170
kraft breakstone's free fat free sour crm,499
cream half  half fat free,442
reddi wip fat free whipped topping,319
milk choc fluid comm red fat w added ca,407
yogurt fruit lofat wlo cal sweetener,889
cheese parmesan dry grated red fat,140
cream sub flav liq,173
cream sub flav pdr,893
cheese provolone red fat,898
cheese mexican blend red fat,628
egg mix usda cmdty,942
milk whl 325 milkfat wo added vit a  vitamin d,495
milk dry whl wo added vitamin d,719
milk cnd evap wo added vit a  vitamin d,568
cheese product past process american red fat fort w vit d,998
yogurt fruit lofat 9 grams prot per 8 oz fort w vitamin d,711
yogurt fruit lofat 10 grams prot per 8 oz fort w vitamin d,294
yogurt fruit var nonfat fort w vitamin d,948
yogurt fruit lowfat w lo cal swtnr fort w vitamin d,804
yogurt vanilla lofat 11 grams prot per 8 oz fort w vit d,130
yogurt vanlem flav nonfat milk w lo-cal swtnr fort wvit d,941
yogurt choc nonfat milk fort w vitamin d,477
protein supp milk bsd muscle milk pdr,667
protein supp milk bsd muscle milk lt pdr,202
dulce de leche,850
egg sub liq or frz fat free,212
cheese dry white queso seco,324
cheese frsh queso fresco,461
